Date,toyota,jp10b
2000/1/1,4690,1.691
2000/2/1,4390,1.796
2000/3/1,5370,1.819
2000/4/1,5370,1.74
2000/5/1,4890,1.705
2000/6/1,4830,1.664
2000/7/1,4640,1.689
2000/8/1,4640,1.75
2000/9/1,4270,1.876
2000/10/1,4360,1.815
2000/11/1,3950,1.764
2000/12/1,3650,1.624
2001/1/1,3970,1.508
2001/2/1,4080,1.415
2001/3/1,4350,1.169
2001/4/1,4110,1.315
2001/5/1,4200,1.25
2001/6/1,4390,1.152
2001/7/1,4120,1.305
2001/8/1,3610,1.343
2001/9/1,3060,1.346
2001/10/1,2970,1.363
2001/11/1,3150,1.328
2001/12/1,3320,1.334
2002/1/1,3450,1.42
2002/2/1,3420,1.501
2002/3/1,3650,1.421
2002/4/1,3500,1.394
2002/5/1,3390,1.365
2002/6/1,3180,1.328
2002/7/1,2865,1.296
2002/8/1,2935,1.255
2002/9/1,3130,1.129
2002/10/1,2980,1.095
2002/11/1,3220,0.979
2002/12/1,3190,0.975
2003/1/1,2855,0.836
2003/2/1,2775,0.828
2003/3/1,2635,0.724
2003/4/1,2700,0.663
2003/5/1,2860,0.577
2003/6/1,3110,0.529
2003/7/1,3050,0.956
2003/8/1,3220,1.406
2003/9/1,3280,1.42
2003/10/1,3130,1.437
2003/11/1,3290,1.333
2003/12/1,3620,1.33
2004/1/1,3460,1.33
2004/2/1,3770,1.211
2004/3/1,3880,1.418
2004/4/1,3990,1.52
2004/5/1,4000,1.505
2004/6/1,4420,1.807
2004/7/1,4480,1.808
2004/8/1,4320,1.588
2004/9/1,4220,1.393
2004/10/1,4130,1.483
2004/11/1,3860,1.452
2004/12/1,4170,1.397
2005/1/1,4030,1.31
2005/2/1,4070,1.419
2005/3/1,3990,1.325
2005/4/1,3840,1.257
2005/5/1,3860,1.238
2005/6/1,3970,1.143
2005/7/1,4250,1.295
2005/8/1,4500,1.365
2005/9/1,5200,1.45
2005/10/1,5310,1.513
2005/11/1,5790,1.454
2005/12/1,6120,1.488
2006/1/1,6080,1.547
2006/2/1,6250,1.598
2006/3/1,6430,1.759
2006/4/1,6660,1.956
2006/5/1,5930,1.849
2006/6/1,5990,1.901
2006/7/1,6060,1.927
2006/8/1,6370,1.668
2006/9/1,6420,1.628
2006/10/1,6930,1.718
2006/11/1,7020,1.69
2006/12/1,7960,1.645
2007/1/1,7950,1.705
2007/2/1,8020,1.64
2007/3/1,7550,1.629
2007/4/1,7320,1.653
2007/5/1,7300,1.733
2007/6/1,7800,1.903
2007/7/1,7200,1.809
2007/8/1,6760,1.577
2007/9/1,6780,1.698
2007/10/1,6570,1.616
2007/11/1,6240,1.497
2007/12/1,6040,1.526
2008/1/1,5820,1.429
2008/2/1,5750,1.429
2008/3/1,4970,1.245
2008/4/1,5270,1.6
2008/5/1,5370,1.778
2008/6/1,5010,1.601
2008/7/1,4660,1.537
2008/8/1,4930,1.431
2008/9/1,4380,1.481
2008/10/1,3730,1.486
2008/11/1,3000,1.377
2008/12/1,2905,1.214
2009/1/1,2925,1.272
2009/2/1,3180,1.277
2009/3/1,3120,1.323
2009/4/1,3850,1.402
2009/5/1,3810,1.481
2009/6/1,3670,1.363
2009/7/1,3990,1.386
2009/8/1,3990,1.314
2009/9/1,3570,1.258
2009/10/1,3660,1.404
2009/11/1,3440,1.253
2009/12/1,3880,1.272
2010/1/1,3490,1.308
2010/2/1,3330,1.295
2010/3/1,3745,1.361
2010/4/1,3665,1.286
2010/5/1,3280,1.257
2010/6/1,3080,1.08
2010/7/1,3050,1.075
2010/8/1,2860,1.023
2010/9/1,2998,0.898
2010/10/1,2859,0.903
2010/11/1,3220,1.161
2010/12/1,3220,1.133
2011/1/1,3400,1.213
2011/2/1,3820,1.241
2011/3/1,3350,1.214
2011/4/1,3230,1.215
2011/5/1,3400,1.118
2011/6/1,3300,1.084
2011/7/1,3155,1.075
2011/8/1,2734,1.023
2011/9/1,2688,0.975
2011/10/1,2644,1.038
2011/11/1,2509,1.062
2011/12/1,2565,0.971
2012/1/1,2810,0.959
2012/2/1,3355,0.962
2012/3/1,3570,0.966
2012/4/1,3305,0.914
2012/5/1,3040,0.846
2012/6/1,3190,0.789
2012/7/1,3020,0.78
2012/8/1,3095,0.8
2012/9/1,3040,0.757
2012/10/1,3065,0.76
2012/11/1,3535,0.713
2012/12/1,4005,0.781
2013/1/1,4365,0.775
2013/2/1,4765,0.669
2013/3/1,4860,0.492
2013/4/1,5640,0.589
2013/5/1,6010,0.879
2013/6/1,5990,0.822
2013/7/1,5970,0.79
2013/8/1,5940,0.708
2013/9/1,6270,0.669
2013/10/1,6360,0.59
2013/11/1,6380,0.605
2013/12/1,6420,0.688
2014/1/1,5922,0.614
2014/2/1,5839,0.586
2014/3/1,5826,0.605
2014/4/1,5516,0.61
2014/5/1,5761,0.566
2014/6/1,6084,0.536
2014/7/1,6137,0.527
2014/8/1,5928,0.488
2014/9/1,6463,0.497
2014/10/1,6498,0.465
2014/11/1,7314,0.42
2014/12/1,7558,0.33
2015/1/1,7645,0.275
2015/2/1,8063,0.33
2015/3/1,8383,0.4
2015/4/1,8358,0.34
2015/5/1,8604,0.39
2015/6/1,8203,0.455
2015/7/1,8253,0.41
2015/8/1,7192,0.38
2015/9/1,6971,0.35
2015/10/1,7469,0.3
2015/11/1,7657,0.3
2015/12/1,7488,0.27
2016/1/1,7200,0.095
2016/2/1,5897,-0.065
2016/3/1,5952,-0.05
2016/4/1,5654,-0.085
2016/5/1,5783,-0.12
2016/6/1,5052,-0.23
2016/7/1,5894,-0.195
2016/8/1,6238,-0.07
2016/9/1,5779,-0.085
2016/10/1,6079,-0.05
2016/11/1,6649,0.02
2016/12/1,6878,0.04
